,geoid,oz,LICadj,eligible,k=6,k6silhouette_score,not_picked
66969,51041100820,0,1,1,,,1
66970,51041100510,0,0,0,,,0
66971,51041101013,0,0,0,,,0
66972,51041100507,0,0,0,,,0
66973,51041101009,0,0,0,,,0
66974,51195930700,0,0,1,,,1
66975,51195931100,0,0,1,,,1
66976,51183870201,0,0,0,,,0
66977,51183870202,0,0,0,,,0
66978,51171040201,0,0,1,,,1
66979,51171040202,0,0,1,,,1
66980,51750010102,1,0,1,0.0,0.2562606622269893,0
66981,51750010101,0,0,1,,,1
66982,51001090300,0,0,1,,,1
66983,51001090500,0,0,1,,,1
66984,51001090600,0,0,1,,,1
66985,51001980200,0,0,0,,,0
66986,51001090700,0,0,1,,,1
66987,51001090800,0,0,1,,,1
66988,51001090200,1,0,1,1.0,-0.11217578784795962,0
66989,51001090100,1,0,1,0.0,0.3239066873832651,0
66990,51001980100,0,0,0,,,0
66991,51001090400,0,0,1,,,1
66992,51073100202,0,0,0,,,0
66993,51073100302,0,0,1,,,1
66994,51073100301,1,0,1,0.0,0.2882337636198182,0
66995,51003011301,0,1,1,,,1
66996,51073100201,0,1,1,,,1
66997,51003010401,0,0,0,,,0
66998,51003010402,0,0,0,,,0
66999,51003011302,1,0,1,0.0,0.41382149122175876,0
67000,51003010602,0,0,0,,,0
67001,51003011303,0,0,0,,,0
67002,51031020102,0,0,1,,,1
67003,51031020101,0,0,1,,,1
67004,51031020403,0,1,1,,,1
67005,51031020401,0,0,1,,,1
67006,51031020402,0,0,0,,,0
67007,51153900407,0,0,1,,,1
67008,51073100203,0,0,0,,,0
67009,51107610603,0,0,1,,,1
67010,51107610507,0,0,0,,,0
67011,51107611011,0,0,0,,,0
67012,51107610604,0,0,0,,,0
67013,51107611025,0,0,0,,,0
67014,51107611024,0,0,0,,,0
67015,51107611806,0,0,0,,,0
67016,51107611014,0,0,0,,,0
67017,51107611018,0,0,1,,,1
67018,51031020600,0,0,1,,,1
67019,51810046206,0,0,0,,,0
67020,51019030401,0,0,1,,,1
67021,51031020300,0,0,0,,,0
67022,51031020800,0,0,1,,,1
67023,51031020900,1,0,1,0.0,0.3394542103458864,0
67024,51810046212,0,0,0,,,0
67025,51810046213,0,0,1,,,1
67026,51810046214,0,0,0,,,0
67027,51810045000,0,0,0,,,0
67028,51810040801,0,0,1,,,1
67029,51810042202,0,0,0,,,0
67030,51810042801,0,1,1,,,1
67031,51810045414,0,0,1,,,1
67032,51810046006,0,0,0,,,0
67033,51810046010,0,1,1,,,1
67034,51013102902,0,0,0,,,0
67035,51013980100,0,0,0,,,0
67036,51013101801,0,0,0,,,0
67037,51013103503,0,0,0,,,0
67038,51153901228,0,0,0,,,0
67039,51041100210,1,0,1,0.0,0.3744097504158486,0
67040,51041100209,0,0,0,,,0
67041,51041100509,0,0,0,,,0
67042,51041100822,0,0,0,,,0
67043,51041100821,0,0,0,,,0
67044,51550021011,0,0,0,,,0
67045,51550021012,0,0,0,,,0
67046,51550021010,0,0,0,,,0
67047,51550020809,0,1,1,,,1
67048,51121020202,0,0,1,,,1
67049,51093280105,0,0,1,,,1
67050,51093280104,0,1,1,,,1
67051,51093280106,0,0,1,,,1
67052,51049930200,1,0,1,0.0,0.36733331349006887,0
67053,51049930100,0,0,1,,,1
67054,51760070601,0,0,1,,,1
67055,51760010402,0,0,0,,,0
67056,51760010401,0,0,0,,,0
67057,51760070602,0,0,1,,,1
67058,51760061000,1,0,1,0.0,0.25534750627140423,0
67059,51199050306,0,0,0,,,0
67060,51199050305,0,0,0,,,0
67061,51199050900,0,0,1,,,1
67062,51199051100,0,0,0,,,0
67063,51135000300,0,0,1,,,1
67064,51199051000,0,1,1,,,1
67065,51029930102,0,0,1,,,1
67066,51029930202,0,0,1,,,1
67067,51135000200,0,0,1,,,1
67068,51135000100,0,0,1,,,1
67069,51135980100,0,0,1,,,1
67070,51077060300,0,0,1,,,1
67071,51077060102,0,0,1,,,1
67072,51077060202,0,0,1,,,1
67073,51077060201,1,0,1,2.0,0.26046559261664337,0
67074,51077060101,0,0,1,,,1
67075,51069051102,1,0,1,0.0,0.3586504705354215,0
67076,51069051101,0,0,0,,,0
67077,51069050803,0,0,0,,,0
67078,51023040302,0,0,0,,,0
67079,51069050802,0,0,0,,,0
67080,51069050801,0,0,1,,,1
67081,51023040401,0,1,1,,,1
67082,51023040402,0,0,0,,,0
67083,51023040502,0,0,1,,,1
67084,51023040501,0,0,0,,,0
67085,51023040301,0,0,0,,,0
67086,51027010500,0,0,1,,,1
67087,51027010400,0,0,1,,,1
67088,51027010600,0,0,1,,,1
67089,51027010700,0,0,1,,,1
67090,51027010100,0,0,1,,,1
67091,51027010200,0,0,1,,,1
67092,51027010300,1,0,1,5.0,0.03225621057637475,0
67093,51071930300,0,0,1,,,1
67094,51071930200,0,0,1,,,1
67095,51071930100,1,0,1,2.0,-0.06792632256450891,0
67096,51071930400,0,0,1,,,1
67097,51650012100,0,0,0,,,0
67098,51059490103,0,0,0,,,0
67099,51650010312,0,0,1,,,1
67100,51147930100,0,0,1,,,1
67101,51147930202,0,0,1,,,1
67102,51147930300,0,0,1,,,1
67103,51147930203,0,0,0,,,0
67104,51107611015,0,1,1,,,1
67105,51107611016,0,0,0,,,0
67106,51107611020,0,0,0,,,0
67107,51107611017,0,0,0,,,0
67108,51107611900,0,0,0,,,0
67109,51107610504,0,0,0,,,0
67110,51155210202,0,1,1,,,1
67111,51155210201,0,0,1,,,1
67112,51059490501,0,0,0,,,0
67113,51059491705,0,0,0,,,0
67114,51059420502,0,1,1,,,1
67115,51059471402,0,0,0,,,0
67116,51107611801,0,0,0,,,0
67117,51107611601,0,1,1,,,1
67118,51059421002,0,1,1,,,1
67119,51107611207,0,0,0,,,0
67120,51107611019,0,0,0,,,0
67121,51107611501,1,0,1,0.0,0.17602742518804831,0
67122,51059422101,0,0,1,,,1
67123,51059422401,0,0,0,,,0
67124,51059421701,0,0,1,,,1
67125,51059440502,0,0,0,,,0
67126,51059430202,0,0,0,,,0
67127,51059440501,0,0,0,,,0
67128,51059431802,0,0,0,,,0
67129,51143010801,0,0,1,,,1
67130,51153900904,0,0,0,,,0
67131,51153900802,0,0,1,,,1
67132,51153900905,0,0,0,,,0
67133,51059481106,0,0,0,,,0
67134,51059420503,0,1,1,,,1
67135,51059422301,0,0,0,,,0
67136,51059421001,0,1,1,,,1
67137,51059422302,0,0,0,,,0
67138,51059421702,0,0,0,,,0
67139,51059422402,0,0,0,,,0
67140,51051040100,0,0,1,,,1
67141,51059421103,0,0,0,,,0
67142,51037930300,0,0,1,,,1
67143,51051040300,1,0,1,3.0,0.136376173054113,0
67144,51051040400,0,0,1,,,1
67145,51153901504,0,0,0,,,0
67146,51051040200,0,0,1,,,1
67147,51187020602,0,0,1,,,1
67148,51187020601,1,0,1,3.0,0.24049657648512074,0
67149,51153901412,0,0,0,,,0
67150,51153901507,0,0,0,,,0
67151,51153901503,0,0,0,,,0
67152,51153901408,0,0,1,,,1
67153,51153901409,0,0,0,,,0
67154,51193010100,0,0,1,,,1
67155,51193010200,0,0,0,,,0
67156,51193010300,0,0,1,,,1
67157,51193010400,0,1,1,,,1
67158,51660000301,0,0,0,,,0
67159,51660000205,0,0,1,,,1
67160,51660000102,0,0,1,,,1
67161,51660000402,0,0,1,,,1
67162,51660000207,0,0,1,,,1
67163,51660000302,1,0,1,2.0,0.137641840351294,0
67164,51015071102,0,1,1,,,1
67165,51015071101,0,0,1,,,1
67166,51081880101,1,0,1,2.0,0.06113515779372903,0
67167,51081880102,0,0,0,,,0
67168,51143011002,0,0,1,,,1
67169,51143011001,0,0,1,,,1
67170,51143010802,0,0,1,,,1
67171,51680001900,0,0,1,,,1
67172,51133020200,0,0,1,,,1
67173,51133020300,0,0,0,,,0
67174,51167030200,0,0,1,,,1
67175,51167030300,0,0,1,,,1
67176,51167030600,0,0,1,,,1
67177,51167030100,0,0,1,,,1
67178,51167030500,0,0,1,,,1
67179,51167030402,0,0,1,,,1
67180,51167030401,1,0,1,1.0,-0.11389726148896984,0
67181,51177020408,0,0,1,,,1
67182,51177020310,0,0,0,,,0
67183,51177020309,0,1,1,,,1
67184,51177020307,0,0,1,,,1
67185,51177020306,0,0,0,,,0
67186,51177020113,0,0,0,,,0
67187,51177020114,0,1,1,,,1
67188,51177020112,0,0,0,,,0
67189,51177020110,0,0,1,,,1
67190,51177020308,0,1,1,,,1
67191,51177020305,1,0,1,1.0,0.09003580837708304,0
67192,51157950100,0,0,1,,,1
67193,51177020204,0,1,1,,,1
67194,51013101601,0,1,1,,,1
67195,51590001301,0,0,1,,,1
67196,51590980100,0,0,0,,,0
67197,51590001302,0,0,1,,,1
67198,51107611602,0,0,1,,,1
67199,51107611802,0,0,0,,,0
67200,51107611502,0,1,1,,,1
67201,51107611023,0,0,0,,,0
67202,51107611804,0,0,0,,,0
67203,51107611803,0,0,0,,,0
67204,51107610101,0,0,0,,,0
67205,51107611805,0,0,0,,,0
67206,51107611022,0,0,0,,,0
67207,51107611021,0,0,0,,,0
67208,51107611010,0,0,1,,,1
67209,51163930400,0,0,1,,,1
67210,51163930200,0,0,1,,,1
67211,51131930300,1,0,1,1.0,-0.0930317004607822,0
67212,51131930100,0,0,1,,,1
67213,51131930200,0,0,1,,,1
67214,51017920100,0,0,1,,,1
